date,IPCA,log_IPCA,diff_log_IPCA,diff2_log_IPCA
2000-01-01,0.62,0.3364722366212129,NA,NA
2000-02-01,0.13,-0.09431067947124128,-0.43078291609245417,NA
2000-03-01,0.22,0,0.09431067947124128,0.5250935955636955
2000-04-01,0.42,0.1823215567939546,0.1823215567939546,0.08801087732271332
2000-05-01,0.01,-0.23572233352106983,-0.4180438903150244,-0.600365447108979
2000-06-01,0.23,0.00995033085316809,0.24567266437423793,0.6637165546892624
2000-07-01,1.61,0.8712933659434193,0.8613430350902512,0.6156703707160133
2000-08-01,1.31,0.7371640659767196,-0.13412929996669976,-0.995472335056951
2000-09-01,0.23,0.00995033085316809,-0.7272137351235515,-0.5930844351568517
2000-10-01,0.14,-0.08338160893905101,-0.0933319397922191,0.6338817953313324
2000-11-01,0.32,0.09531017980432492,0.17869178874337593,0.27202372853559503
2000-12-01,0.59,0.3148107398400336,0.21950056003570867,0.040808771292332735
2001-01-01,0.57,0.30010459245033816,-0.014706147389695445,-0.23420670742540411
2001-02-01,0.46,0.2151113796169455,-0.08499321283339267,-0.07028706544369723
2001-03-01,0.38,0.1484200051182734,-0.06669137449867207,0.0183018383347206
2001-04-01,0.58,0.30748469974796055,0.15906469462968714,0.22575606912835922
2001-05-01,0.41,0.17395330712343798,-0.13353139262452257,-0.2925960872542097
2001-06-01,0.52,0.26236426446749106,0.08841095734405308,0.22194234996857565
2001-07-01,1.33,0.7466879474879753,0.48432368302048423,0.39591272567643115
2001-08-01,0.7,0.3920420877760237,-0.3546458597119516,-0.8389695427324358
2001-09-01,0.28,0.05826890812397582,-0.33377317965204784,0.02087268005990378
2001-10-01,0.83,0.4762341789963715,0.41796527087239566,0.7517384505244435
2001-11-01,0.71,0.3987761199573678,-0.07745805903900371,-0.49542332991139937
2001-12-01,0.65,0.35767444427181605,-0.04110167568555173,0.03635638335345198
2002-01-01,0.52,0.26236426446749106,-0.09531017980432499,-0.05420850411877326
2002-02-01,0.36,0.1310282624064042,-0.13133600206108687,-0.036025822256761875
2002-03-01,0.6,0.3220834991691132,0.19105523676270902,0.3223912388237959
2002-04-01,0.8,0.4574248470388755,0.13534134786976226,-0.05571388889294676
2002-05-01,0.21,-0.01005033585350145,-0.46747518289237694,-0.6028165307621391
2002-06-01,0.42,0.1823215567939546,0.19237189264745605,0.659847075539833
2002-07-01,1.19,0.6780335427498971,0.49571198595594257,0.30334009330848655
2002-08-01,0.65,0.35767444427181605,-0.3203590984780811,-0.8160710844340237
2002-09-01,0.72,0.4054651081081644,0.047790663836348335,0.3681497623144294
2002-10-01,1.31,0.7371640659767196,0.3316989578685552,0.28390829403220685
2002-11-01,3.02,1.33500106673234,0.5978370007556204,0.2661380428870652
2002-12-01,2.1,1.0577902941478543,-0.2772107725844857,-0.8750477733401061
2003-01-01,2.25,1.108562619521278,0.0507723253734238,0.3279830979579095
2003-02-01,1.57,0.8544153281560676,-0.2541472913652105,-0.3049196167386343
2003-03-01,1.23,0.6981347220709843,-0.15628060608508332,0.09786668528012721
2003-04-01,0.97,0.5596157879354227,-0.1385189341355616,0.017761671949521718
2003-05-01,0.61,0.32930374714260047,-0.2303120407928222,-0.09179310665726059
2003-06-01,-0.15,-0.4620354595965587,-0.7913392067391591,-0.561027165946337
2003-07-01,0.2,-0.02020270731751946,0.44183275227903923,1.2331719590181984
2003-08-01,0.34,0.11332868530700328,0.13353139262452274,-0.3083013596545165
2003-09-01,0.78,0.44468582126144574,0.33135713595444244,0.1978257433299197
2003-10-01,0.29,0.06765864847381486,-0.37702717278763087,-0.7083843087420734
2003-11-01,0.34,0.11332868530700328,0.04567003683318842,0.4226972096208193
2003-12-01,0.52,0.26236426446749106,0.14903557916048776,0.10336554232729935
2004-01-01,0.76,0.43178241642553783,0.16941815195804677,0.020382572797559007
2004-02-01,0.61,0.32930374714260047,-0.10247866928293736,-0.27189682124098413
2004-03-01,0.47,0.22314355131420976,-0.1061601958283907,-0.0036815265454533397
2004-04-01,0.37,0.13976194237515863,-0.08338160893905114,0.022778586889339564
2004-05-01,0.51,0.25464221837358075,0.11488027599842213,0.19826188493747327
2004-06-01,0.71,0.3987761199573678,0.14413390158378703,0.0292536255853649
2004-07-01,0.91,0.5247285289349821,0.12595240897761434,-0.01818149260617269
2004-08-01,0.69,0.3852624007906449,-0.13946612814433723,-0.26541853712195157
2004-09-01,0.33,0.10436001532424286,-0.280902385466402,-0.14143625732206477
2004-10-01,0.44,0.19885085874516517,0.09449084342092232,0.3753932288873243
2004-11-01,0.69,0.3852624007906449,0.18641154204547972,0.0919206986245574
2004-12-01,0.86,0.4946962418361071,0.10943384104546222,-0.0769777010000175
2005-01-01,0.58,0.30748469974796055,-0.18721154208814655,-0.2966453831336088
2005-02-01,0.59,0.3148107398400336,0.0073260400920730495,0.1945375821802196
2005-03-01,0.61,0.32930374714260047,0.014493007302566863,0.007166967210493813
2005-04-01,0.87,0.5007752879124892,0.1714715407698887,0.15697853346732182
2005-05-01,0.49,0.23901690047049992,-0.2617583874419892,-0.4332299282118779
2005-06-01,-0.02,-0.2744368457017603,-0.5134537461722603,-0.25169535873027105
2005-07-01,0.25,0.02955880224154443,0.30399564794330475,0.8174493941155649
2005-08-01,0.17,-0.05129329438755046,-0.08085209662909489,-0.3848477445723996
2005-09-01,0.35,0.12221763272424913,0.17351092711179958,0.2543630237408945
2005-10-01,0.75,0.4252677354043441,0.30305010268009497,0.1295391755682954
2005-11-01,0.55,0.28517894223366247,-0.14008879317068162,-0.4431388958507766
